ERG,count
"CHD1>WTAP,+",1
"CHMP4A>UPF3A,-",1
"TMEM123>SPCS3,+",1
"VPS36>NFE2L1,-",1
"MTRNR2L12>SPCS3,+",1
"CSDE1>SRRM1,+",1
"ZNF22>SERBP1,+",1
"GAPDH>RPS28,+",1
"NEDD8>FLNA,+",1
"RPS28>NEDD8,+",1
"GAPDH>SUMO2,+",1
"C6orf89>ISCU,+",1
"TMEM123>ISCU,-",1
"NDUFC2>ZC3H13,+",1
"COX7B>ZC3H13,+",1
"SRRM1>ARHGDIA,+",1
"NUDCD1>MGP,-",1
"PSMB5>ITGB1BP1,+",1
"LAMTOR1>PQLC1,+",1
"CD74>PQLC1,+",1
"EEF1A1>PKM,+",1
"RPLP1>PKM,+",1
"RPL10A>RPL30,+",1
"RPL34>EEF1A1,+",1
"PSMB5>TPR,+",1
"EEF1A1>ABHD14B,+",1
"PTEN>NUDCD1,+",1
"SNHG7>SMG1,+",1
"RPL30>RPL10A,+",1
"ABHD14B>ENO1,+",1
"SMG1>ENO1,+",1
"PSMB5>EBF1,+",1
"SNHG7>EBF1,+",1
"ABHD14B>NAPA,+",1
"JUN>NAPA,+",1
"EEF1A1>JUN,+",1
"CELF1>JUN,+",1
"LRPAP1>FAM171A1,+",1
"EEF1A1>SUMO2,+",1
"TMEM14C>SUMO2,+",1
"PSMB5>SUMO2,+",1
"ERG>EIF4H,+",1
"CDC37>LRPAP1,+",1
"NDUFB9>ECSCR,+",1
"TMEM14C>ECSCR,+",1
"SETD5>MRPL32,+",1
"RPL10A>LEPR,+",1
"LEPR>C19orf70,+",1
"ECSCR>TMEM14C,+",1
"PSMB5>ZNF791,+",1
"CD74>ZNF791,+",1
"NUDCD1>EIF4H,+",1
"EEF1A1>RPLP0,+",1
"LRPAP1>EIF4H,+",1
"RPL34>HSP90AB1,+",1
"NUDCD1>PTEN,+",1
"RPL10A>RPLP1,+",1
"RPLP1>RPL41,+",1
"LEPR>SETD5,+",1
"CELF1>NDUFB9,+",1
"EEF1A1>RPS13,+",1
"SMG1>SNHG7,+",1
"SUMO2>FAM171A1,+",1
"EEF1A1>EEF2,+",1
"PRDX1>ZC3H13,+",1
"NDUFB9>CELF1,+",1
"CDC5L>RPL27,+",1
"MT-ATP6>RAB4A,+",1
"PCMTD1>RAB4A,+",1
"APOL3>RAB4A,+",1
"COX7B>SERBP1,+",1
"MT-ATP6>VPS37B,+",1
"ANAPC11>VPS37B,+",1
"RPL37>RPLP1,+",1
"NASP>C6orf89,+",1
"APOL3>C6orf89,+",1
"COX7B>APOL3,+",1
"CDC5L>APOL3,+",1
"RPS27A>RPL37,+",1
"EEF2>TRIM44,+",1
"NDUFC2>CD74,+",1
"RPL37>CD74,+",1
"ABCD4>TTC1,+",1
"PRDX1>TTC1,+",1
"RPL37>RPS12,+",1
"NASP>EEF2,+",1
"KLC1>EEF2,+",1
"MT-ATP6>RPL27,+",1
"C19orf70>ABCD4,+",1
"PRRC2C>ABCD4,-",1
"CYHR1>EIF4H,+",1
"ANAPC11>PCMTD1,+",1
"PRRC2C>PCMTD1,+",1
"HSBP1>COX7B,+",1
"RPS27A>ANKRD10,+",1
"C19orf70>ANKRD10,+",1
"EIF4H>ANKRD10,+",1
"NASP>CDC5L,+",1
"APOL3>CDC5L,+",1
"CDC5L>EIF4H,-",1
"RPL37>RPS28,+",1
"MT-ATP6>ABCD4,+",1
"ABCD4>ARRDC3,+",1
"EEF2>FCHSD2,+",1
"RPLP1>RPSA,+",1
"COX7B>RPSA,+",1
"GALNT1>PRDX1,+",1
"EEF2>PRDX1,+",1
"RPLP1>RPS19,+",1
"EEF2>RPS19,+",1
"MT-ATP6>CYHR1,+",1
"PSMD8>TTC1,+",1
"VEZF1>TMEM123,+",1
"TMED10>UPF3A,+",1
"C1orf115>GLRX5,+",1
"MGP>CFAP20,+",1
"KAT6B>CFAP20,+",1
"TNIP1>CFAP20,+",1
"MYO6>CFAP20,+",1
"HLA-C>ATP6V0E1,+",1
"TNIP1>NFIA,-",1
"CDK9>NFIA,+",1
"HLA-C>NFIA,+",1
"KAT6B>RPS6KA2,-",1
"ZNF791>RPS6KA2,+",1
"ARL2>RPS6KA2,+",1
"POLR2B>MED13,+",1
"CLEC1A>ZNF326,+",1
"MGP>ZNF326,+",1
"BTBD7>ZNF326,+",1
"C1orf115>ZNF326,+",1
"CLEC1A>LRRC8A,+",1
"STOM>LRRC8A,+",1
"LRRC8A>C1orf115,+",1
"GLRX5>C1orf115,+",1
"POLR2B>TNIP1,+",1
"ERH>PEA15,+",1
"REPIN1>CLEC1A,+",1
"NFIA>DPYSL3,+",1
"POLR2B>NUDCD1,+",1
"C1orf115>KAT6B,+",1
"STOM>JTB,+",1
"ARL2>JTB,+",1
"CDK9>ERH,+",1
"EEF2>ERH,+",1
"GLRX5>EEF2,+",1
"ZNF791>CDC37,+",1
"STOM>CDC37,+",1
"EEF2>TACC1,+",1
"MYO6>NUDCD1,+",1
"TXNDC17>DPYSL3,-",1
"EEF2>SERBP1,+",1
"POLR2B>ADGRL4,+",1
"MED13>ZNF22,+",1
"STRAP>BANF1,+",1
"C1orf115>MGP,+",1
"ZNF326>MGP,+",1
"GLRX5>C19orf70,+",1
"CLEC1A>DPYSL3,+",1
"EEF2>DPYSL3,-",1
"NFIA>TNIP1,-",1
"STOM>GLRX5,+",1
"LRRC8A>SMARCC1,+",1
"C1orf115>TRIP11,+",1
"MT-ND4>FKBP1A,+",1
"ATP6V0E1>FKBP1A,+",1
"CALD1>NRN1,+",1
"FAM200B>NRN1,+",1
"SLC38A2>NRN1,+",1
"ATP6V0E1>CD74,+",1
"USP53>LEPR,+",1
"DPYSL3>NEK7,+",1
"UPF3A>NEK7,+",1
"MT-ND1>MT-ATP6,+",1
"RPS21>RPL13A,+",1
"UPF3A>CALD1,+",1
"NRN1>DPYSL3,+",1
"HECTD1>DPYSL3,+",1
"RICTOR>DPYSL3,+",1
"HECTD1>FAM200B,+",1
"RPS21>SEC31A,+",1
"AK3>AP2B1,+",1
"SLC38A2>RPS20,+",1
"CASC4>CD151,+",1
"LSM8>CAVIN2,+",1
"NRN1>VPS53,+",1
"MBNL1>VPS53,+",1
"ANKRD12>RICTOR,+",1
"ZNF326>UQCRB,+",1
"RPS6KA2>TRIP11,+",1
"STRAP>TRIP11,+",1
"ADGRL4>TRIP11,+",1
"ZNF22>REPIN1,+",1
"CLEC1A>REPIN1,+",1
"POLR2B>NDUFB7,+",1
"ZNF326>EGFL7,+",1
"CLEC1A>EGFL7,+",1
"RPS6KA2>HOXD8,+",1
"GLRX5>UQCRB,+",1
"USP53>RICTOR,+",1
"TNIP1>ERG,+",1
"UPF3A>SBF2,+",1
"TMED10>ATP6V0E1,+",1
"MAP3K3>ATP6V0E1,+",1
"HECTD1>ATP6V0E1,+",1
"SLC38A2>UQCRB,+",1
"UPF3A>GPATCH8,+",1
"MT-ND1>GPATCH8,+",1
"DPYSL3>RICTOR,+",1
"GLRX5>KAT6B,-",1
"CLEC1A>SMARCC1,+",1
"PSMD8>ELF2,+",1
"RBMX>HDGF,+",1
"SMG1>SUPT4H1,+",1
"PLCB4>SUPT4H1,+",1
"COX4I1>CTSZ,+",1
"DPYSL3>CTSZ,+",1
"TPR>CTSZ,+",1
"SLC40A1>CTSZ,+",1
"USP53>CTSZ,+",1
"TGFB1I1>HNRNPR,+",1
"HNRNPUL1>RILPL2,+",1
"STRAP>TGFB1I1,+",1
"ATP6V1G1>TGFB1I1,+",1
"HNRNPUL1>HMGN1,+",1
"SLC40A1>HMGN1,-",1
"RBMX>EBAG9,+",1
"TMEM245>EBAG9,+",1
"TPR>HNRNPUL1,+",1
"TGFB1I1>YPEL5,-",1
"SLC40A1>YPEL5,-",1
"NUMA1>YPEL5,+",1
"MT-CO3>YPEL5,+",1
"MGP>YPEL5,-",1
"COX4I1>RBMX,+",1
"SNRNP200>ATP6V1G1,+",1
"COX4I1>ATP6V1G1,+",1
"STRAP>DLGAP4,+",1
"SRRM1>EEF2,+",1
"RPL22L1>NDUFB7,+",1
"TMEM123>AK2,+",1
"ADH5>COX5B,+",1
"TMEM123>ERG,+",1
"MXRA7>JTB,+",1
"POLR2C>JTB,+",1
"NDUFC2>STRAP,+",1
"YPEL5>DLGAP4,-",1
"HMGN3>DLGAP4,+",1
"SNRNP200>SNRNP70,+",1
"STRAP>TCF4,+",1
"DPYSL3>TCF4,+",1
"MT-CO3>TCF4,+",1
"RBMX>MT-CO3,+",1
"SNRNP200>MT-CO3,+",1
"HNRNPUL1>MT-CO3,+",1
"CALD1>MT-CO3,+",1
"MXRA7>COX4I1,+",1
