gene,total_count
NUDC,101.3222404768019
CCNH,101.2988899310719
TOX4,101.21691438819276
LSM8,101.16356849094593
TRA2A,101.15382648542787
ABI3,101.14197288891704
CD27,101.11294483271833
SDHC,101.02432277619162
S100A8,101.01533004013096
IKZF1,100.95561353847032
KRT10,100.946288294006
EPSTI1,100.86059528828231
SLU7,100.83511874635332
RNF181,100.80927093358181
POLR2K,100.78812419585596
EIF4A3,100.756119165797
RHOG,100.72901639272757
IMP3,100.72182003464044
LAMTOR1,100.67835083300811
GPX1,100.6449537295407
TRAPPC6A,100.63444332553577
EID1,100.6165757828643
C19ORF24,100.59499732183005
OSTF1,100.5350603868873
CTSS,100.52007379609223
RASGRP2,100.49900984787703
TSR2,100.47911874930816
PYCARD,100.42400055160394
NFE2L2,100.4182934773803
MTDH,100.35862669597778
GPM6B,100.26518149619326
NDUFA2,100.19422669415874
POLE3,100.15979307512482
SLTM,100.12766366954486
DCXR,100.08815337033536
ZNF706,100.06234863054432
VAPA,100.00701014533449
HLA-DMA,99.94458171296283
MT2A,99.92879815867498
LARP7,99.90047339846996
PLEKHF1,99.84967492512526
MIEN1,99.81357474701625
HSP90B1,99.80916951896106
SPN,99.80779246347448
TEX264,99.79927137921878
TCEB1,99.77992315744227
FAM195B,99.74095266374177
SELL,99.73860398537255
ITGB1,99.71545139614092
TMEM160,99.64525874954724
KDM6B,99.61633966564496
MRPL33,99.61188924873419
ARF6,99.59606062878696
RSF1,99.58404659713389
SRSF10,99.56030382685726
MZT2A,99.5335021287892
PSMD8,99.52820911934838
EMC10,99.48420254881638
FOXP1,99.47577815416311
SET,99.4422231110184
REEP5,99.3222550276476
ANXA11,99.307550450206
PCMT1,99.27907801400994
RNF167,99.27172773736085
PSENEN,99.22056057751492
SUPT4H1,99.20506131501168
DDT,99.03283413528291
HLA-DQA2,99.01055240485934
VAMP5,98.9934202625267
DNTTIP2,98.98985549632147
MDH1,98.97971902143314
APMAP,98.97230893458057
IFI27L2,98.95701015109249
TLE4,98.95645138250296
DDX6,98.9550418488327
TAPBP,98.95065091274031
SAMD9,98.86126459098631
IRF3,98.84920397271515
IQGAP1,98.8318147115446
NDUFC2,98.79807881996071
C19ORF66,98.79459655019176
CNN2,98.75942176953046
HSPB11,98.75091490935999
ISCA1,98.73604329535848
PPM1K,98.7255405483015
SF3B1,98.70763196975507
TPR,98.69291129794267
HBA1,98.68795851753521
AHNAK,98.68692685876212
KLF2,98.65468652070685
SSU72,98.58282363293654
RALY,98.57549680308738
GBP2,98.56145366780672
ATP6V0D1,98.54680696423966
PCBP2,98.54198719591172
MRPL41,98.53507040410838
ATRX,98.52821820827687
CDK2AP2,98.51623783582825
THRAP3,98.48126767740892
WAS,98.40403414173927
UBXN4,98.28433192842968
CNOT6L,98.27591208875023
NDUFS6,98.2709561577177
USP36,98.2641555543603
AREG,98.25088814814343
CMTM7,98.19956617264212
ESD,98.11830139202324
CDC26,98.08369454863058
PGAM1,98.07609491096412
PDCD10,98.0750840027854
CMC2,98.07391851933508
MBNL1,98.06344648033219
SUMO3,98.03488625356358
CHMP5,98.02949121886559
CCDC186,97.98045674566983
ATP5G3,97.97129628629122
TRADD,97.95848830205256
SDHD,97.93798674992647
PA2G4,97.83687385991837
UQCRFS1,97.82572980128677
AP2S1,97.80150061430373
